Account No,Customer No,Account Name,Currency,category,Open Date,Scheme Id,Classification,Product Id,type,officer,Risk,status
996369199552636,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2022-01-07,ACCOUNT SCHEME 4,INDIVIDUAL,,CURRENT,INPP6119,,
122994470506847,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,INDIVIDUAL,,CURRENT,INPP6119,,
368377666382624,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 3,INDIVIDUAL,,CURRENT,INPP6119,,
736753461266576,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2017-10-21,ACCOUNT SCHEME 4,CORPORATE,,CURRENT,INPP6119,,
104135676779040,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,CORPORATE,,CURRENT,INPP6119,,
128229562756384,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 2,INDIVIDUAL,,CURRENT,INPP6119,,
326350351987328,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 3,CORPORATE,,CURRENT,INPP6119,,
526740660331627,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 3,INDIVIDUAL,,CURRENT,INPP6119,,
000301010001649,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 2,INDIVIDUAL,,CURRENT,INPP6119,,
257185714864573,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,CORPORATE,,CURRENT,INPP6119,,
902834422123296,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 2,CORPORATE,,CURRENT,INPP6119,,
382430445641314,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 5,CORPORATE,,CURRENT,INPP6119,,
843726932768851,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,CORPORATE,,CURRENT,INPP6119,,
238485168584280,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 5,CORPORATE,,CURRENT,INPP6119,,
742773428383332,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 1,INDIVIDUAL,,CURRENT,INPP6119,,
110120005,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 2,INDIVIDUAL,,CURRENT,INPP6119,,
882765361757843,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 3,INDIVIDUAL,,CURRENT,INPP6119,,
712142194354548,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 3,INDIVIDUAL,,CURRENT,INPP6119,,
584973203569945,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,INDIVIDUAL,,CURRENT,INPP6119,,
573441526412516,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 5,CORPORATE,,CURRENT,INPP6119,,
015168405966369,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 2,CORPORATE,,CURRENT,INPP6119,,
183812969846032,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 5,INDIVIDUAL,,CURRENT,INPP6119,,
233683161937866,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,INDIVIDUAL,,CURRENT,INPP6119,,
703863885748593,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,CORPORATE,,CURRENT,INPP6119,,
880088373889925,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 1,CORPORATE,,CURRENT,INPP6119,,
162597368688515,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,INDIVIDUAL,,CURRENT,INPP6119,,
786402048224126,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 3,CORPORATE,,CURRENT,INPP6119,,
025059016700775,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,INDIVIDUAL,,CURRENT,INPP6119,,
513811246082630,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 1,INDIVIDUAL,,CURRENT,INPP6119,,
015430318623167,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 2,CORPORATE,,CURRENT,INPP6119,,
352477111834921,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,INDIVIDUAL,,CURRENT,INPP6119,,
728182561335658,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,INDIVIDUAL,,CURRENT,INPP6119,,
227681533754282,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 3,CORPORATE,,CURRENT,INPP6119,,
719683368451652,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,INDIVIDUAL,,CURRENT,INPP6119,,
